track_name,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode
Sad Beautiful Tragic,Red,0.626,0.342,-12.352,0.0293,0.623,0.0371,0.0838,0.232,129.978,G,major
Starlight,Red,0.646,0.783,-5.744,0.0409,0.0183,4.92E-04,0.187,0.645,126.009,A,major
State Of Grace,Red,0.585,0.835,-5.878,0.0322,1.76E-04,8.27E-04,0.0907,0.411,129.953,E,major
Stay Stay Stay,Red,0.726,0.757,-6.663,0.0239,0.298,0,0.0934,0.925,100.098,C,major
The Last Time,Red,0.503,0.459,-7.024,0.0268,0.0472,5.05E-06,0.101,0.121,94.013,D,major
The Lucky One,Red,0.706,0.512,-7.573,0.0366,0.0315,0,0.132,0.51,117.934,E,major
The Moment I Knew,Red,0.614,0.511,-7.227,0.0319,0.17,5.21E-06,0.1,0.256,125.958,G,major
Treacherous,Red,0.701,0.602,-8.167,0.0327,0.088,5.40E-06,0.141,0.385,109.984,D,major
We Are Never Ever Getting Back Together,Red,0.533,0.689,-5.84,0.18,0.0101,2.72E-05,0.118,0.731,171.999,G,major
All You Had To Do Was Stay,1989,0.602,0.735,-5.778,0.0337,0.00196,4.77E-05,0.105,0.472,96.969,F,major
Bad Blood,1989,0.652,0.802,-6.114,0.181,0.0871,6.45E-06,0.148,0.295,170.157,G,major
Blank Space,1989,0.752,0.678,-5.421,0.0646,0.085,1.64E-06,0.13,0.583,96.009,F,major
Clean,1989,0.81,0.38,-7.755,0.035,0.242,0,0.113,0.211,103.981,E,major
How You Get The Girl,1989,0.764,0.659,-6.136,0.0492,0.00463,0.00458,0.0915,0.525,119.982,F,major
I Know Places,1989,0.595,0.763,-4.991,0.0661,0.231,0,0.2,0.507,159.959,C,major
I Wish You Would,1989,0.649,0.898,-5.963,0.0511,0.016,9.90E-05,0.109,0.503,118.027,C,major
Out Of The Woods,1989,0.552,0.841,-6.938,0.0372,0.00103,1.23E-05,0.337,0.342,91.993,G,major
Shake It Off,1989,0.648,0.785,-5.414,0.165,0.0561,0,0.148,0.943,160.02,G,major
Style,1989,0.598,0.786,-5.572,0.0382,0.00256,0.00143,0.117,0.456,95.021,D,major
This Love,1989,0.485,0.459,-8.768,0.0337,0.635,0,0.101,0.0858,71.981,E,major
Welcome To New York,1989,0.793,0.634,-4.807,0.0324,0.038,1.76E-06,0.304,0.615,117.023,G,major
Wildest Dreams,1989,0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,G#,major
Call It What You Want,reputation,0.597,0.506,-9.897,0.114,0.197,9.82E-05,0.309,0.237,163.962,A,major
Dancing With Our Hands Tied,reputation,0.62,0.696,-6.523,0.22,0.0667,9.11E-06,0.138,0.242,160.02,C,minor
Delicate,reputation,0.745,0.41,-10.212,0.0779,0.228,3.83E-04,0.0906,0.0596,95.022,A,minor
Don't Blame Me,reputation,0.622,0.545,-6.689,0.0361,0.103,2.16E-05,0.0637,0.213,135.868,A,minor
